Pressure (mbar),Distance Cycle 1 (mm),Distance Cycle 2 (mm),Distance Cycle 3 (mm),Distance Cycle 4 (mm),Distance Cycle 5 (mm),Load Cycle 1 (kg),Load Cycle 2 (kg),Load Cycle 3 (kg),Load Cycle 4 (kg),Load Cycle 5 (kg)
100.0,-0.0,4.0,4.0,4.0,5.0,33.027522935779814,32.92558613659531,33.12945973496432,33.33333333333333,33.23139653414883
200.0,1.0,3.0,4.0,4.0,4.0,33.435270132517836,32.92558613659531,33.33333333333333,33.027522935779814,33.12945973496432
300.0,2.0,4.0,5.0,5.0,6.0,33.63914373088685,33.435270132517836,33.435270132517836,33.33333333333333,33.435270132517836
400.0,3.0,5.0,6.0,6.0,7.0,33.53720693170234,33.435270132517836,33.435270132517836,33.435270132517836,33.435270132517836
500.0,4.0,7.0,7.0,8.0,8.0,33.74108053007135,33.53720693170234,33.63914373088685,33.23139653414883,33.435270132517836
600.0,5.0,8.0,9.0,9.0,9.0,33.435270132517836,33.53720693170234,33.63914373088685,33.33333333333333,33.53720693170234
700.0,6.0,9.0,10.0,10.0,11.0,33.84301732925586,33.435270132517836,33.435270132517836,33.63914373088685,33.53720693170234
800.0,8.0,11.0,12.0,12.0,13.0,33.63914373088685,33.435270132517836,33.435270132517836,33.435270132517836,33.435270132517836
900.0,9.0,13.0,13.0,14.0,14.0,33.63914373088685,33.53720693170234,33.33333333333333,33.53720693170234,33.53720693170234
1000.0,11.0,14.0,15.0,16.0,16.0,33.63914373088685,33.53720693170234,33.435270132517836,33.435270132517836,33.435270132517836
1100.0,13.0,16.0,17.0,18.0,18.0,33.84301732925586,33.53720693170234,33.53720693170234,33.435270132517836,33.53720693170234
1200.0,15.0,18.0,19.0,20.0,20.0,33.63914373088685,33.63914373088685,33.53720693170234,33.53720693170234,33.53720693170234
1300.0,17.0,21.0,22.0,22.0,23.0,33.53720693170234,33.53720693170234,33.435270132517836,33.33333333333333,33.53720693170234
1400.0,19.0,23.0,24.0,25.0,25.0,33.74108053007135,33.53720693170234,33.63914373088685,33.435270132517836,33.63914373088685
1500.0,22.0,26.0,27.0,28.0,28.0,33.63914373088685,33.53720693170234,33.53720693170234,33.435270132517836,33.435270132517836
1600.0,24.0,29.0,30.0,31.0,32.0,33.53720693170234,33.435270132517836,33.53720693170234,33.63914373088685,33.23139653414883
1700.0,27.0,32.0,33.0,34.0,35.0,33.53720693170234,33.74108053007135,33.63914373088685,33.435270132517836,33.33333333333333
1800.0,31.0,36.0,37.0,38.0,39.0,33.63914373088685,33.74108053007135,33.435270132517836,33.53720693170234,33.53720693170234
1900.0,34.0,39.0,41.0,42.0,43.0,33.63914373088685,33.435270132517836,33.53720693170234,33.435270132517836,33.33333333333333
2000.0,38.0,44.0,45.0,46.0,47.0,33.84301732925586,33.435270132517836,33.53720693170234,33.63914373088685,33.53720693170234
2100.0,42.0,48.0,49.0,51.0,51.0,33.53720693170234,33.435270132517836,33.435270132517836,33.435270132517836,33.53720693170234
2200.0,47.0,53.0,54.0,56.0,57.0,33.53720693170234,33.63914373088685,33.63914373088685,33.63914373088685,33.33333333333333
2300.0,52.0,58.0,60.0,61.0,62.0,33.63914373088685,33.63914373088685,33.53720693170234,33.53720693170234,33.53720693170234
2400.0,57.0,64.0,66.0,67.0,68.0,33.74108053007135,33.63914373088685,33.53720693170234,33.435270132517836,33.53720693170234
