Pressure (mbar),Distance (mm),Load(kg)
6000.0,208.0,43.15324498810737
5900.0,208.0,43.22120285423038
5800.0,208.0,43.11926605504587
5700.0,208.0,42.74549779136936
5600.0,206.0,42.84743459055386
5500.0,204.0,42.64356099218485
5400.0,202.0,42.74549779136936
5300.0,199.0,42.67753992524636
5200.0,197.0,42.67753992524635
5100.0,195.0,42.67753992524635
5000.0,192.0,42.67753992524635
4900.0,190.0,42.74549779136936
4800.0,187.0,42.71151885830786
4700.0,184.0,42.67753992524635
4600.0,181.0,42.74549779136936
4500.0,178.0,42.81345565749236
4400.0,175.0,42.60958205912335
4300.0,171.66666666666666,42.71151885830786
4200.0,168.0,42.74549779136935
4100.0,164.66666666666666,42.71151885830786
4000.0,161.0,42.64356099218485
3900.0,157.0,42.71151885830786
3800.0,153.0,42.74549779136936
3700.0,149.0,42.71151885830785
3600.0,145.0,42.74549779136934
3500.0,140.33333333333334,42.71151885830785
3400.0,136.0,42.67753992524636
3300.0,131.0,42.77947672443086
3200.0,126.0,42.67753992524635
3100.0,121.0,42.67753992524636
3000.0,116.0,42.81345565749236
2900.0,110.0,42.71151885830786
2800.0,105.0,42.60958205912335
2700.0,99.0,42.67753992524635
2600.0,93.66666666666667,42.71151885830786
2500.0,87.66666666666667,42.67753992524636
2400.0,82.0,42.71151885830786
2300.0,76.66666666666667,42.64356099218485
2200.0,71.0,42.67753992524636
2100.0,66.0,42.64356099218485
2000.0,60.333333333333336,42.74549779136936
1900.0,55.666666666666664,42.74549779136936
1800.0,51.0,42.67753992524636
1700.0,46.666666666666664,42.67753992524636
1600.0,42.0,42.77947672443085
1500.0,38.666666666666664,42.64356099218485
1400.0,35.0,42.67753992524636
1300.0,31.0,42.81345565749236
1200.0,28.0,42.71151885830786
1100.0,25.0,42.74549779136936
1000.0,22.333333333333332,42.67753992524635
900.0,20.0,42.71151885830786
800.0,18.0,42.71151885830786
700.0,15.333333333333334,42.67753992524634
600.0,13.333333333333334,42.74549779136936
500.0,11.0,42.71151885830785
400.0,10.0,42.81345565749236
300.0,8.0,42.81345565749236
200.0,6.0,42.74549779136936
100.0,4.0,42.81345565749236
