Pressure (mbar),Distance (mm),Load(kg)
100.0,3.0,42.77947672443086
200.0,2.3333333333333335,42.77947672443086
300.0,3.0,43.05130818892286
400.0,4.0,42.91539245667686
500.0,5.666666666666667,42.98335032279986
600.0,7.0,43.01732925586136
700.0,8.0,43.05130818892286
800.0,9.666666666666666,43.05130818892286
900.0,11.0,43.01732925586136
1000.0,13.0,43.01732925586136
1100.0,14.0,43.08528712198436
1200.0,16.0,43.15324498810738
1300.0,18.0,43.05130818892286
1400.0,20.666666666666668,43.11926605504587
1500.0,23.0,43.05130818892286
1600.0,25.333333333333332,43.08528712198436
1700.0,28.0,42.98335032279985
1800.0,31.0,42.94937138973835
1900.0,34.333333333333336,43.08528712198436
2000.0,38.0,43.08528712198436
2100.0,41.666666666666664,43.01732925586136
2200.0,45.666666666666664,43.05130818892286
2300.0,50.0,43.01732925586136
2400.0,54.666666666666664,43.05130818892286
2500.0,59.333333333333336,43.08528712198436
2600.0,65.0,43.05130818892286
2700.0,70.0,43.05130818892286
2800.0,75.66666666666667,43.01732925586136
2900.0,81.33333333333333,43.11926605504587
3000.0,87.0,43.08528712198436
3100.0,93.0,43.01732925586136
3200.0,99.0,43.05130818892286
3300.0,105.0,43.01732925586136
3400.0,111.0,42.84743459055386
3500.0,116.0,42.81345565749235
3600.0,122.0,42.91539245667685
3700.0,127.0,42.71151885830786
3800.0,132.0,43.01732925586136
3900.0,137.0,42.98335032279986
4000.0,142.0,42.98335032279986
4100.0,146.0,43.01732925586136
4200.0,151.0,42.88141352361535
4300.0,155.0,42.84743459055386
4400.0,159.0,42.88141352361535
4500.0,163.0,42.71151885830786
4600.0,167.0,42.81345565749236
4700.0,171.0,42.81345565749235
4800.0,174.33333333333334,42.74549779136936
4900.0,178.0,42.84743459055386
5000.0,181.0,42.74549779136936
5100.0,184.66666666666666,42.77947672443086
5200.0,188.0,42.74549779136935
5300.0,190.66666666666666,42.74549779136936
5400.0,193.0,42.77947672443086
5500.0,196.0,42.74549779136936
5600.0,199.0,42.67753992524635
5700.0,201.0,42.94937138973835
5800.0,204.0,42.81345565749236
5900.0,207.0,43.08528712198437
6000.0,207.0,43.15324498810737
