Pressure (mbar),Distance Cycle 1 (mm),Distance Cycle 2 (mm),Distance Cycle 3 (mm),Distance Cycle 4 (mm),Distance Cycle 5 (mm),Load Cycle 1 (kg),Load Cycle 2 (kg),Load Cycle 3 (kg),Load Cycle 4 (kg),Load Cycle 5 (kg)
100.0,-0.0,5.0,5.0,6.0,6.0,23.85321100917431,23.6493374108053,23.547400611620795,23.547400611620795,23.547400611620795
200.0,1.0,4.0,5.0,5.0,6.0,23.85321100917431,23.6493374108053,23.6493374108053,23.547400611620795,23.445463812436287
300.0,3.0,6.0,6.0,7.0,7.0,23.85321100917431,23.85321100917431,23.751274209989806,23.955147808358817,23.751274209989806
400.0,4.0,7.0,8.0,8.0,8.0,23.955147808358817,23.85321100917431,23.85321100917431,23.955147808358817,23.751274209989806
500.0,6.0,9.0,9.0,10.0,10.0,23.955147808358817,23.85321100917431,23.955147808358817,23.955147808358817,23.85321100917431
600.0,8.0,10.0,11.0,12.0,12.0,23.85321100917431,23.955147808358817,23.955147808358817,23.955147808358817,23.955147808358817
700.0,10.0,12.0,13.0,14.0,14.0,23.85321100917431,23.85321100917431,23.85321100917431,24.159021406727827,23.751274209989806
800.0,12.0,15.0,15.0,16.0,17.0,23.85321100917431,23.955147808358817,23.955147808358817,23.6493374108053,23.85321100917431
900.0,14.0,17.0,18.0,19.0,19.0,23.955147808358817,23.955147808358817,24.05708460754332,23.85321100917431,23.85321100917431
1000.0,17.0,20.0,21.0,21.0,22.0,23.955147808358817,23.85321100917431,23.955147808358817,23.85321100917431,23.751274209989806
1100.0,20.0,23.0,24.0,24.0,25.0,24.05708460754332,23.955147808358817,24.05708460754332,23.955147808358817,23.955147808358817
1200.0,23.0,26.0,27.0,28.0,29.0,23.85321100917431,23.955147808358817,23.85321100917431,23.85321100917431,23.955147808358817
1300.0,27.0,30.0,31.0,32.0,32.0,23.955147808358817,24.05708460754332,23.85321100917431,23.85321100917431,23.85321100917431
1400.0,30.0,34.0,35.0,36.0,37.0,23.955147808358817,23.955147808358817,23.955147808358817,23.85321100917431,23.85321100917431
1500.0,35.0,38.0,40.0,41.0,42.0,23.85321100917431,23.955147808358817,23.955147808358817,23.85321100917431,23.955147808358817
1600.0,40.0,44.0,45.0,46.0,47.0,23.955147808358817,24.05708460754332,23.955147808358817,24.05708460754332,23.85321100917431
1700.0,45.0,49.0,50.0,52.0,53.0,24.159021406727827,24.05708460754332,23.955147808358817,23.955147808358817,23.751274209989806
1800.0,51.0,55.0,56.0,58.0,59.0,24.159021406727827,24.05708460754332,23.955147808358817,23.85321100917431,23.955147808358817
1900.0,57.0,61.0,63.0,64.0,65.0,23.955147808358817,23.955147808358817,23.955147808358817,23.955147808358817,23.955147808358817
2000.0,64.0,68.0,70.0,71.0,72.0,23.85321100917431,23.955147808358817,23.955147808358817,23.85321100917431,23.955147808358817
2100.0,70.0,75.0,77.0,78.0,79.0,23.955147808358817,24.05708460754332,23.955147808358817,23.955147808358817,23.85321100917431
2200.0,77.0,82.0,84.0,85.0,86.0,23.955147808358817,23.955147808358817,23.955147808358817,23.955147808358817,23.85321100917431
2300.0,85.0,90.0,92.0,93.0,94.0,23.955147808358817,23.955147808358817,23.955147808358817,23.6493374108053,23.85321100917431
2400.0,93.0,98.0,99.0,101.0,101.0,24.05708460754332,23.955147808358817,23.955147808358817,23.955147808358817,23.955147808358817
2500.0,100.0,105.0,107.0,108.0,109.0,23.955147808358817,23.955147808358817,23.955147808358817,23.955147808358817,24.05708460754332
2600.0,108.0,112.0,114.0,115.0,116.0,24.159021406727827,23.85321100917431,23.85321100917431,23.85321100917431,23.955147808358817
2700.0,115.0,119.0,121.0,122.0,123.0,23.955147808358817,23.85321100917431,23.751274209989806,23.955147808358817,23.955147808358817
2800.0,122.0,126.0,128.0,129.0,130.0,23.85321100917431,23.955147808358817,23.6493374108053,23.751274209989806,23.955147808358817
2900.0,129.0,133.0,134.0,135.0,136.0,23.955147808358817,24.159021406727827,24.05708460754332,23.85321100917431,23.955147808358817
3000.0,135.0,139.0,141.0,142.0,142.0,23.955147808358817,23.955147808358817,23.955147808358817,23.751274209989806,23.955147808358817
3100.0,142.0,145.0,147.0,147.0,148.0,24.05708460754332,23.955147808358817,23.955147808358817,23.85321100917431,23.85321100917431
3200.0,148.0,151.0,152.0,153.0,154.0,23.955147808358817,23.85321100917431,23.85321100917431,23.955147808358817,23.85321100917431
3300.0,153.0,157.0,157.0,158.0,159.0,23.955147808358817,23.955147808358817,23.955147808358817,23.85321100917431,23.955147808358817
3400.0,159.0,162.0,163.0,164.0,164.0,23.751274209989806,23.6493374108053,23.751274209989806,23.6493374108053,23.85321100917431
3500.0,164.0,167.0,168.0,169.0,169.0,23.85321100917431,23.6493374108053,23.85321100917431,23.85321100917431,23.955147808358817
3600.0,168.0,171.0,172.0,173.0,174.0,23.85321100917431,23.85321100917431,23.85321100917431,23.751274209989806,23.751274209989806
3700.0,173.0,176.0,177.0,177.0,178.0,23.751274209989806,23.85321100917431,23.85321100917431,23.751274209989806,23.85321100917431
3800.0,177.0,180.0,181.0,181.0,182.0,23.955147808358817,24.05708460754332,23.955147808358817,24.05708460754332,24.05708460754332
3900.0,181.0,184.0,185.0,185.0,186.0,23.955147808358817,23.85321100917431,23.955147808358817,23.85321100917431,23.85321100917431
4000.0,185.0,188.0,188.0,189.0,189.0,24.05708460754332,23.955147808358817,23.85321100917431,24.05708460754332,24.05708460754332
4100.0,189.0,191.0,192.0,193.0,193.0,24.260958205912335,24.05708460754332,23.85321100917431,23.85321100917431,23.955147808358817
4200.0,193.0,195.0,196.0,196.0,197.0,23.955147808358817,23.955147808358817,24.159021406727827,23.751274209989806,24.05708460754332
4300.0,196.0,198.0,199.0,199.0,200.0,23.85321100917431,23.955147808358817,23.85321100917431,24.05708460754332,23.955147808358817
4400.0,200.0,201.0,202.0,203.0,203.0,23.85321100917431,24.05708460754332,23.955147808358817,24.05708460754332,23.85321100917431
