Pressure (mbar),Distance (mm),Load(kg)
100.0,0.0,12.844036697247706
200.0,2.0,13.455657492354739
300.0,3.0,13.251783893985728
400.0,5.0,13.251783893985728
500.0,7.0,13.353720693170233
600.0,9.0,13.251783893985728
700.0,11.0,13.353720693170233
800.0,14.0,13.455657492354739
900.0,17.0,13.251783893985728
1000.0,20.0,13.455657492354739
1100.0,24.0,13.557594291539244
1200.0,29.0,13.557594291539244
1300.0,34.0,13.65953109072375
1400.0,39.0,13.353720693170233
1500.0,46.0,13.65953109072375
1600.0,53.0,13.455657492354739
1700.0,61.0,13.557594291539244
1800.0,69.0,13.65953109072375
1900.0,77.0,13.353720693170233
2000.0,86.0,13.455657492354739
2100.0,95.0,13.455657492354739
2200.0,103.0,13.65953109072375
2300.0,112.0,13.353720693170233
2400.0,121.0,13.353720693170233
2500.0,128.0,13.353720693170233
2600.0,135.0,13.557594291539244
2700.0,142.0,13.353720693170233
2800.0,149.0,13.455657492354739
2900.0,155.0,13.353720693170233
3000.0,161.0,13.251783893985728
3100.0,166.0,13.557594291539244
3200.0,172.0,13.353720693170233
3300.0,176.0,13.557594291539244
3400.0,180.0,13.557594291539244
3500.0,185.0,13.455657492354739
3600.0,189.0,13.65953109072375
3700.0,193.0,13.557594291539244
3800.0,197.0,13.251783893985728
3900.0,200.0,13.557594291539244
4000.0,203.0,13.455657492354739
4100.0,207.0,13.65953109072375
4200.0,210.0,13.455657492354739
4300.0,212.0,13.65953109072375
4400.0,215.0,13.455657492354739
4500.0,218.0,13.557594291539244
4600.0,221.0,13.557594291539244
4700.0,223.0,13.353720693170233
4800.0,225.0,13.455657492354739
4900.0,228.0,13.455657492354739
5000.0,230.0,13.353720693170233
5100.0,232.0,13.353720693170233
5200.0,234.0,13.455657492354739
5300.0,236.0,13.149847094801222
5400.0,238.0,13.251783893985728
5500.0,240.0,13.353720693170233
5600.0,241.0,13.353720693170233
5700.0,243.0,13.557594291539244
5800.0,245.0,13.353720693170233
5900.0,246.0,13.353720693170233
6000.0,247.0,13.353720693170233
