Pressure (mbar),Distance (mm),Load(kg)
100.0,6.0,33.435270132517836
200.0,8.0,33.33333333333333
300.0,10.0,33.33333333333333
400.0,12.0,33.33333333333333
500.0,14.0,33.23139653414883
600.0,17.0,33.435270132517836
700.0,19.0,33.33333333333333
800.0,22.0,33.435270132517836
900.0,25.0,33.33333333333333
1000.0,28.0,33.33333333333333
1100.0,32.0,33.435270132517836
1200.0,36.0,33.33333333333333
1300.0,41.0,33.23139653414883
1400.0,46.0,33.23139653414883
1500.0,50.0,33.12945973496432
1600.0,56.0,33.23139653414883
1700.0,62.0,33.23139653414883
1800.0,67.0,33.12945973496432
1900.0,73.0,33.12945973496432
2000.0,80.0,33.23139653414883
2100.0,86.0,33.027522935779814
2200.0,93.0,33.23139653414883
2300.0,99.0,33.23139653414883
2400.0,105.0,33.23139653414883
2500.0,112.0,33.12945973496432
2600.0,118.0,33.23139653414883
2700.0,123.0,33.23139653414883
2800.0,129.0,33.12945973496432
2900.0,134.0,33.12945973496432
3000.0,140.0,33.12945973496432
3100.0,145.0,33.33333333333333
3200.0,149.0,33.33333333333333
3300.0,154.0,33.12945973496432
3400.0,159.0,33.23139653414883
3500.0,163.0,33.12945973496432
3600.0,166.0,33.23139653414883
3700.0,170.0,33.027522935779814
3800.0,174.0,33.23139653414883
3900.0,178.0,33.33333333333333
4000.0,181.0,33.23139653414883
4100.0,184.0,33.435270132517836
4200.0,187.0,33.027522935779814
4300.0,190.0,33.23139653414883
4400.0,193.0,33.23139653414883
4500.0,196.0,33.12945973496432
4600.0,198.0,33.23139653414883
4700.0,201.0,33.33333333333333
4800.0,203.0,33.23139653414883
4900.0,205.0,33.23139653414883
5000.0,207.0,33.33333333333333
5100.0,210.0,33.23139653414883
5200.0,212.0,33.435270132517836
5300.0,214.0,33.33333333333333
5400.0,216.0,33.23139653414883
5500.0,217.0,33.12945973496432
5600.0,219.0,33.23139653414883
5700.0,219.0,34.04689092762487
5800.0,218.0,34.454638124362894
5900.0,218.0,34.25076452599388
6000.0,218.0,34.25076452599388
