Pressure (mbar),Distance (mm),Load(kg)
100.0,7.25,33.46075433231396
200.0,9.25,33.25688073394495
300.0,11.0,33.28236493374108
400.0,13.25,33.33333333333333
500.0,15.25,33.33333333333333
600.0,17.75,33.53720693170234
700.0,20.25,33.384301732925586
800.0,23.25,33.38430173292558
900.0,26.5,33.40978593272171
1000.0,29.5,33.384301732925586
1100.0,33.5,33.435270132517836
1200.0,37.5,33.307849133537204
1300.0,42.5,33.2059123343527
1400.0,47.25,33.103975535168196
1500.0,51.75,33.12945973496432
1600.0,57.5,33.2059123343527
1700.0,63.5,33.2059123343527
1800.0,68.75,33.18042813455658
1900.0,75.0,33.103975535168196
2000.0,81.5,33.2059123343527
2100.0,88.0,33.154943934760446
2200.0,94.5,33.18042813455658
2300.0,100.75,33.2059123343527
2400.0,107.0,33.23139653414883
2500.0,113.5,33.103975535168196
2600.0,119.5,33.2059123343527
2700.0,125.0,33.2059123343527
2800.0,130.5,33.15494393476045
2900.0,135.5,33.25688073394495
3000.0,141.25,33.2059123343527
3100.0,146.25,33.307849133537204
3200.0,150.75,33.25688073394495
3300.0,155.25,33.23139653414883
3400.0,160.25,33.2059123343527
3500.0,163.75,33.15494393476045
3600.0,167.5,33.358817533129454
3700.0,171.5,33.10397553516819
3800.0,175.25,33.307849133537204
3900.0,178.75,33.33333333333333
4000.0,182.25,33.18042813455658
4100.0,185.0,33.307849133537204
4200.0,188.25,33.154943934760446
4300.0,191.25,33.23139653414883
4400.0,194.25,33.2059123343527
4500.0,196.75,33.23139653414883
4600.0,199.25,33.23139653414883
4700.0,201.75,33.25688073394495
4800.0,204.25,33.25688073394495
4900.0,206.25,33.28236493374108
5000.0,208.5,33.28236493374108
5100.0,210.75,33.25688073394495
5200.0,213.0,33.358817533129454
5300.0,214.75,33.25688073394495
5400.0,216.5,33.28236493374108
5500.0,218.25,33.23139653414883
5600.0,220.0,33.28236493374108
5700.0,220.0,34.225280326197755
5800.0,219.5,34.25076452599388
5900.0,219.5,34.14882772680938
6000.0,219.25,34.14882772680937
