Pressure (mbar),Distance (mm),Load(kg)
100.0,0.0,33.435270132517836
200.0,1.0,33.74108053007135
300.0,2.0,33.84301732925586
400.0,3.0,33.84301732925586
500.0,4.0,33.63914373088685
600.0,6.0,33.84301732925586
700.0,7.0,34.35270132517839
800.0,8.0,34.76044852191641
900.0,9.0,36.493374108053004
1000.0,12.0,34.14882772680938
1100.0,14.0,34.35270132517839
1200.0,16.0,34.35270132517839
1300.0,18.0,34.76044852191641
1400.0,21.0,34.14882772680938
1500.0,24.0,34.04689092762487
1600.0,27.0,33.944954128440365
1700.0,30.0,33.74108053007135
1800.0,34.0,33.944954128440365
1900.0,38.0,34.35270132517839
2000.0,42.0,34.04689092762487
2100.0,46.0,34.25076452599388
2200.0,51.0,34.454638124362894
2300.0,57.0,34.14882772680938
2400.0,63.0,34.14882772680938
2500.0,69.0,34.04689092762487
2600.0,75.0,34.14882772680938
2700.0,82.0,34.25076452599388
2800.0,88.0,34.04689092762487
2900.0,95.0,34.14882772680938
3000.0,101.0,34.04689092762487
3100.0,108.0,34.25076452599388
3200.0,113.0,34.14882772680938
3300.0,119.0,34.25076452599388
3400.0,126.0,33.74108053007135
3500.0,131.0,34.25076452599388
3600.0,137.0,33.944954128440365
3700.0,143.0,33.944954128440365
3800.0,147.0,33.944954128440365
3900.0,152.0,34.04689092762487
4000.0,157.0,33.944954128440365
4100.0,161.0,33.944954128440365
4200.0,166.0,33.84301732925586
4300.0,170.0,33.84301732925586
4400.0,174.0,33.944954128440365
4500.0,177.0,33.84301732925586
4600.0,181.0,33.944954128440365
4700.0,184.0,33.84301732925586
4800.0,188.0,33.84301732925586
4900.0,191.0,33.74108053007135
5000.0,194.0,33.74108053007135
5100.0,197.0,33.63914373088685
5200.0,200.0,33.63914373088685
5300.0,203.0,33.53720693170234
5400.0,205.0,33.63914373088685
5500.0,208.0,33.53720693170234
5600.0,210.0,33.53720693170234
5700.0,212.0,33.84301732925586
5800.0,215.0,33.63914373088685
5900.0,217.0,33.53720693170234
6000.0,218.0,34.25076452599388
