Pressure (mbar),Distance (mm),Load(kg)
100.0,2.0,33.435270132517836
200.0,2.25,33.58817533129459
300.0,3.25,33.76656472986748
400.0,4.5,33.79204892966361
500.0,5.5,33.84301732925586
600.0,7.25,34.046890927624865
700.0,8.25,34.48012232415902
800.0,9.5,34.96432212028542
900.0,11.25,35.0407747196738
1000.0,13.5,34.30173292558614
1100.0,15.5,34.32721712538226
1200.0,17.5,34.40366972477064
1300.0,20.0,34.27624872579001
1400.0,22.75,33.94495412844037
1500.0,25.75,33.944954128440365
1600.0,28.75,33.94495412844037
1700.0,32.5,33.84301732925586
1800.0,35.75,34.02140672782875
1900.0,39.75,34.22528032619776
2000.0,44.25,34.09785932721712
2100.0,48.25,34.174311926605505
2200.0,53.5,34.225280326197755
2300.0,59.25,34.09785932721712
2400.0,65.25,34.072375127421
2500.0,71.25,34.225280326197755
2600.0,77.5,34.225280326197755
2700.0,84.0,34.27624872579001
2800.0,90.25,34.09785932721712
2900.0,97.25,34.14882772680937
3000.0,103.25,34.225280326197755
3100.0,109.5,34.30173292558614
3200.0,115.25,34.123343527013255
3300.0,121.5,34.09785932721712
3400.0,127.75,33.766564729867476
3500.0,133.5,33.944954128440365
3600.0,139.5,33.91946992864424
3700.0,144.75,33.97043832823649
3800.0,149.0,34.04689092762487
3900.0,154.0,34.02140672782875
4000.0,158.75,33.94495412844037
4100.0,163.0,33.84301732925586
4200.0,167.25,33.86850152905198
4300.0,171.25,33.79204892966361
4400.0,175.25,33.89398572884811
4500.0,178.75,33.81753312945973
4600.0,182.25,33.89398572884811
4700.0,185.75,33.7920489296636
4800.0,189.25,33.79204892966361
4900.0,192.5,33.6901121304791
5000.0,195.5,33.74108053007135
5100.0,198.5,33.664627930682975
5200.0,201.25,33.63914373088684
5300.0,204.0,33.66462793068297
5400.0,206.5,33.63914373088684
5500.0,209.25,33.56269113149847
5600.0,211.5,33.63914373088685
5700.0,213.5,33.89398572884811
5800.0,215.75,33.664627930682975
5900.0,218.25,33.53720693170234
6000.0,219.25,34.12334352701325
