Pressure (mbar),Distance (mm),Load(kg)
100.0,7.0,33.027522935779814
200.0,9.0,33.23139653414883
300.0,11.0,33.027522935779814
400.0,13.0,33.027522935779814
500.0,15.0,33.12945973496432
600.0,18.0,33.027522935779814
700.0,20.0,33.027522935779814
800.0,23.0,33.027522935779814
900.0,26.0,33.12945973496432
1000.0,29.0,33.027522935779814
1100.0,33.0,32.92558613659531
1200.0,37.0,33.12945973496432
1300.0,41.0,33.12945973496432
1400.0,46.0,33.12945973496432
1500.0,51.0,33.027522935779814
1600.0,56.0,33.12945973496432
1700.0,61.0,33.027522935779814
1800.0,67.0,33.12945973496432
1900.0,73.0,33.12945973496432
2000.0,80.0,33.027522935779814
2100.0,87.0,33.027522935779814
2200.0,93.0,33.12945973496432
2300.0,99.0,33.12945973496432
2400.0,106.0,32.82364933741081
2500.0,112.0,33.12945973496432
2600.0,118.0,33.027522935779814
2700.0,124.0,33.027522935779814
2800.0,130.0,33.23139653414883
2900.0,135.0,33.12945973496432
3000.0,140.0,33.12945973496432
3100.0,145.0,33.12945973496432
3200.0,150.0,33.12945973496432
3300.0,155.0,33.23139653414883
3400.0,159.0,33.23139653414883
3500.0,163.0,33.23139653414883
3600.0,167.0,33.12945973496432
3700.0,171.0,33.12945973496432
3800.0,175.0,33.23139653414883
3900.0,179.0,33.12945973496432
4000.0,182.0,33.23139653414883
4100.0,185.0,33.23139653414883
4200.0,188.0,33.23139653414883
4300.0,191.0,33.23139653414883
4400.0,194.0,33.23139653414883
4500.0,197.0,33.23139653414883
4600.0,200.0,33.23139653414883
4700.0,202.0,33.33333333333333
4800.0,205.0,33.12945973496432
4900.0,207.0,33.027522935779814
5000.0,209.0,33.23139653414883
5100.0,211.0,33.23139653414883
5200.0,213.0,33.23139653414883
5300.0,215.0,33.23139653414883
5400.0,217.0,33.12945973496432
5500.0,219.0,33.12945973496432
5600.0,221.0,33.23139653414883
5700.0,222.0,33.435270132517836
5800.0,221.0,33.53720693170234
5900.0,221.0,33.435270132517836
6000.0,221.0,33.63914373088685
