Pressure (mbar),Distance (mm),Load(kg)
100.0,0.0,32.92558613659531
200.0,1.0,33.33333333333333
300.0,2.0,33.53720693170234
400.0,3.0,33.33333333333333
500.0,4.0,33.435270132517836
600.0,6.0,33.33333333333333
700.0,7.0,33.435270132517836
800.0,9.0,33.435270132517836
900.0,10.0,33.435270132517836
1000.0,12.0,33.435270132517836
1100.0,14.0,33.33333333333333
1200.0,16.0,33.33333333333333
1300.0,19.0,33.435270132517836
1400.0,21.0,33.435270132517836
1500.0,24.0,33.435270132517836
1600.0,27.0,33.435270132517836
1700.0,31.0,33.435270132517836
1800.0,34.0,33.435270132517836
1900.0,38.0,33.53720693170234
2000.0,43.0,33.435270132517836
2100.0,47.0,33.33333333333333
2200.0,52.0,33.23139653414883
2300.0,58.0,33.74108053007135
2400.0,64.0,33.435270132517836
2500.0,70.0,33.53720693170234
2600.0,76.0,33.53720693170234
2700.0,83.0,33.435270132517836
2800.0,89.0,33.53720693170234
2900.0,96.0,33.74108053007135
3000.0,103.0,33.435270132517836
3100.0,110.0,33.33333333333333
3200.0,116.0,33.23139653414883
3300.0,122.0,33.23139653414883
3400.0,128.0,33.435270132517836
3500.0,133.0,33.435270132517836
3600.0,139.0,33.435270132517836
3700.0,144.0,33.53720693170234
3800.0,150.0,33.33333333333333
3900.0,154.0,33.435270132517836
4000.0,159.0,33.435270132517836
4100.0,163.0,33.435270132517836
4200.0,168.0,33.435270132517836
4300.0,172.0,33.435270132517836
4400.0,175.0,33.53720693170234
4500.0,179.0,33.53720693170234
4600.0,183.0,33.435270132517836
4700.0,186.0,33.33333333333333
4800.0,190.0,33.53720693170234
4900.0,193.0,33.33333333333333
5000.0,196.0,33.53720693170234
5100.0,199.0,33.435270132517836
5200.0,202.0,33.23139653414883
5300.0,205.0,33.23139653414883
5400.0,207.0,33.12945973496432
5500.0,210.0,33.23139653414883
5600.0,213.0,33.12945973496432
5700.0,215.0,33.435270132517836
5800.0,217.0,33.12945973496432
5900.0,220.0,33.33333333333333
6000.0,221.0,33.63914373088685
