Pressure (mbar),Distance (mm),Load(kg)
100.0,6.0,33.435270132517836
200.0,8.0,33.33333333333333
300.0,10.0,33.33333333333333
400.0,12.0,33.33333333333333
500.0,14.0,33.23139653414883
600.0,16.0,33.53720693170234
700.0,18.0,33.33333333333333
800.0,21.0,33.435270132517836
900.0,24.0,33.435270132517836
1000.0,27.0,33.435270132517836
1100.0,31.0,33.23139653414883
1200.0,35.0,33.33333333333333
1300.0,39.0,33.027522935779814
1400.0,44.0,33.23139653414883
1500.0,49.0,33.12945973496432
1600.0,54.0,33.12945973496432
1700.0,60.0,33.12945973496432
1800.0,65.0,33.12945973496432
1900.0,71.0,33.027522935779814
2000.0,78.0,33.23139653414883
2100.0,84.0,33.33333333333333
2200.0,90.0,33.23139653414883
2300.0,97.0,33.027522935779814
2400.0,103.0,33.23139653414883
2500.0,109.0,33.33333333333333
2600.0,115.0,33.23139653414883
2700.0,121.0,33.33333333333333
2800.0,127.0,33.23139653414883
2900.0,132.0,33.23139653414883
3000.0,138.0,33.12945973496432
3100.0,142.0,33.33333333333333
3200.0,147.0,33.23139653414883
3300.0,152.0,33.23139653414883
3400.0,156.0,33.12945973496432
3500.0,160.0,33.435270132517836
3600.0,164.0,33.23139653414883
3700.0,168.0,33.12945973496432
3800.0,172.0,33.23139653414883
3900.0,175.0,33.33333333333333
4000.0,179.0,33.33333333333333
4100.0,182.0,33.53720693170234
4200.0,185.0,33.33333333333333
4300.0,188.0,33.33333333333333
4400.0,191.0,33.435270132517836
4500.0,194.0,33.33333333333333
4600.0,196.0,33.23139653414883
4700.0,199.0,33.33333333333333
4800.0,201.0,33.53720693170234
4900.0,203.0,33.53720693170234
5000.0,206.0,33.23139653414883
5100.0,208.0,33.33333333333333
5200.0,210.0,33.33333333333333
5300.0,211.0,33.435270132517836
5400.0,214.0,33.12945973496432
5500.0,215.0,33.435270132517836
5600.0,217.0,33.33333333333333
5700.0,217.0,34.14882772680938
5800.0,217.0,34.14882772680938
5900.0,217.0,34.14882772680938
6000.0,216.0,34.04689092762487
