Pressure (mbar),Distance (mm),Load(kg)
100.0,0.0,33.33333333333333
200.0,0.0,33.33333333333333
300.0,1.0,33.74108053007135
400.0,2.0,33.63914373088685
500.0,3.0,33.944954128440365
600.0,5.0,33.944954128440365
700.0,6.0,33.944954128440365
800.0,7.0,34.454638124362894
900.0,8.0,35.77981651376147
1000.0,11.0,34.35270132517839
1100.0,13.0,34.25076452599388
1200.0,15.0,34.25076452599388
1300.0,17.0,34.454638124362894
1400.0,20.0,33.84301732925586
1500.0,22.0,33.84301732925586
1600.0,25.0,33.944954128440365
1700.0,29.0,34.04689092762487
1800.0,32.0,33.944954128440365
1900.0,36.0,34.14882772680938
2000.0,40.0,34.14882772680938
2100.0,44.0,34.04689092762487
2200.0,49.0,34.14882772680938
2300.0,54.0,34.35270132517839
2400.0,60.0,34.14882772680938
2500.0,66.0,34.04689092762487
2600.0,72.0,34.25076452599388
2700.0,78.0,34.25076452599388
2800.0,85.0,34.14882772680938
2900.0,92.0,33.944954128440365
3000.0,98.0,34.25076452599388
3100.0,104.0,34.35270132517839
3200.0,110.0,34.14882772680938
3300.0,116.0,34.35270132517839
3400.0,123.0,34.04689092762487
3500.0,128.0,34.04689092762487
3600.0,134.0,33.944954128440365
3700.0,140.0,34.04689092762487
3800.0,144.0,34.14882772680938
3900.0,149.0,34.14882772680938
4000.0,154.0,33.944954128440365
4100.0,159.0,33.944954128440365
4200.0,163.0,34.04689092762487
4300.0,167.0,33.84301732925586
4400.0,171.0,33.84301732925586
4500.0,175.0,33.84301732925586
4600.0,179.0,33.944954128440365
4700.0,182.0,33.944954128440365
4800.0,186.0,33.74108053007135
4900.0,189.0,33.74108053007135
5000.0,192.0,33.74108053007135
5100.0,195.0,33.84301732925586
5200.0,198.0,33.74108053007135
5300.0,201.0,33.74108053007135
5400.0,204.0,33.74108053007135
5500.0,206.0,33.84301732925586
5600.0,208.0,33.74108053007135
5700.0,211.0,33.944954128440365
5800.0,213.0,33.84301732925586
5900.0,215.0,33.944954128440365
6000.0,216.0,34.04689092762487
