Pressure (mbar),Distance (mm),Load(kg)
6000.0,252.0,12.810057764186203
5900.0,252.66666666666666,12.878015630309207
5800.0,253.0,12.911994563370707
5700.0,252.0,12.572205232755692
5600.0,251.66666666666666,12.606184165817192
5500.0,250.0,12.504247366632688
5400.0,249.0,12.470268433571185
5300.0,248.0,12.640163098878695
5200.0,247.0,12.470268433571187
5100.0,246.0,12.470268433571185
5000.0,244.0,12.436289500509686
4900.0,243.0,12.504247366632688
4800.0,241.33333333333334,12.504247366632688
4700.0,240.0,12.402310567448183
4600.0,238.0,12.53822629969419
4500.0,237.0,12.50424736663269
4400.0,235.0,12.53822629969419
4300.0,233.0,12.470268433571187
4200.0,231.0,12.50424736663269
4100.0,229.0,12.53822629969419
4000.0,227.0,12.436289500509686
3900.0,225.0,12.436289500509686
3800.0,222.66666666666666,12.572205232755692
3700.0,220.0,12.436289500509686
3600.0,217.66666666666666,12.470268433571187
3500.0,215.0,12.53822629969419
3400.0,212.0,12.504247366632688
3300.0,209.0,12.436289500509686
3200.0,206.0,12.50424736663269
3100.0,202.66666666666666,12.504247366632688
3000.0,199.0,12.470268433571187
2900.0,195.66666666666666,12.504247366632688
2800.0,191.66666666666666,12.504247366632688
2700.0,187.33333333333334,12.470268433571187
2600.0,183.0,12.572205232755692
2500.0,178.0,12.436289500509686
2400.0,173.33333333333334,12.504247366632688
2300.0,167.66666666666666,12.402310567448183
2200.0,161.66666666666666,12.470268433571187
2100.0,155.66666666666666,12.470268433571187
2000.0,149.0,12.436289500509686
1900.0,142.0,12.470268433571185
1800.0,135.0,12.436289500509686
1700.0,127.0,12.50424736663269
1600.0,118.33333333333333,12.436289500509686
1500.0,109.66666666666667,12.402310567448183
1400.0,100.33333333333333,12.504247366632688
1300.0,90.66666666666667,12.470268433571187
1200.0,81.0,12.368331634386683
1100.0,72.0,12.504247366632688
1000.0,63.0,12.53822629969419
900.0,54.666666666666664,12.53822629969419
800.0,47.0,12.572205232755692
700.0,40.333333333333336,12.436289500509686
600.0,33.666666666666664,12.504247366632688
500.0,28.0,12.50424736663269
400.0,23.0,12.504247366632688
300.0,18.0,12.470268433571187
200.0,14.333333333333334,12.402310567448183
100.0,10.666666666666666,12.436289500509686
