Pressure (mbar),Distance (mm),Load(kg)
6000.0,223.0,33.63914373088685
5900.0,223.0,33.673122663948355
5800.0,223.0,33.57118586476384
5700.0,223.0,33.163438668025826
5600.0,221.0,33.163438668025826
5500.0,219.0,33.197417601087324
5400.0,217.33333333333334,33.12945973496432
5300.0,216.0,33.163438668025826
5200.0,214.0,33.19741760108732
5100.0,212.0,33.095480801902816
5000.0,209.66666666666666,33.12945973496432
4900.0,207.0,33.265375467210326
4800.0,205.0,33.23139653414882
4700.0,202.33333333333334,33.12945973496432
4600.0,200.0,33.129459734964314
4500.0,197.33333333333334,33.163438668025826
4400.0,194.0,33.23139653414883
4300.0,192.0,33.12945973496432
4200.0,188.66666666666666,33.163438668025826
4100.0,185.33333333333334,33.129459734964314
4000.0,182.0,33.23139653414883
3900.0,179.0,33.12945973496432
3800.0,175.0,33.06150186884131
3700.0,171.33333333333334,33.19741760108733
3600.0,167.66666666666666,33.095480801902816
3500.0,164.0,33.095480801902816
3400.0,159.0,33.19741760108733
3300.0,155.0,33.129459734964314
3200.0,150.33333333333334,33.12945973496432
3100.0,145.66666666666666,33.095480801902816
3000.0,140.66666666666666,33.06150186884131
2900.0,135.33333333333334,33.095480801902816
2800.0,130.0,33.265375467210326
2700.0,124.0,33.12945973496432
2600.0,118.33333333333333,33.12945973496432
2500.0,112.0,33.163438668025826
2400.0,106.0,33.163438668025826
2300.0,100.0,33.163438668025826
2200.0,93.33333333333333,33.19741760108733
2100.0,87.0,33.197417601087324
2000.0,80.33333333333333,33.12945973496432
1900.0,74.0,33.12945973496432
1800.0,68.0,33.197417601087324
1700.0,62.0,33.163438668025826
1600.0,56.333333333333336,33.19741760108733
1500.0,51.0,33.163438668025826
1400.0,45.666666666666664,33.19741760108733
1300.0,40.666666666666664,33.12945973496432
1200.0,36.333333333333336,33.197417601087324
1100.0,32.0,33.23139653414883
1000.0,28.333333333333332,33.12945973496432
900.0,25.0,33.16343866802582
800.0,22.0,33.23139653414883
700.0,19.0,33.163438668025826
600.0,16.0,33.265375467210326
500.0,13.666666666666666,33.23139653414883
400.0,11.0,33.12945973496432
300.0,9.0,33.197417601087324
200.0,7.0,33.23139653414882
100.0,5.0,33.06150186884131
0.0, 0.0, 33.06150186884131
