Pressure (mbar),Distance (mm),Load(kg)
0.0, 0.0, 33.06150186884131
100.0,3.0,33.29935440027183
200.0,3.0,33.163438668025826
300.0,3.6666666666666665,33.435270132517836
400.0,5.0,33.435270132517836
500.0,6.0,33.435270132517836
600.0,8.0,33.40129119945633
700.0,9.0,33.53720693170234
800.0,11.0,33.50322799864084
900.0,13.0,33.46924906557934
1000.0,15.0,33.503227998640845
1100.0,17.333333333333332,33.503227998640845
1200.0,20.0,33.53720693170234
1300.0,22.666666666666668,33.53720693170234
1400.0,25.666666666666668,33.46924906557934
1500.0,29.0,33.503227998640845
1600.0,32.333333333333336,33.53720693170234
1700.0,36.333333333333336,33.503227998640845
1800.0,40.333333333333336,33.53720693170234
1900.0,45.0,33.503227998640845
2000.0,50.0,33.503227998640845
2100.0,54.666666666666664,33.40129119945633
2200.0,60.333333333333336,33.53720693170234
2300.0,66.33333333333333,33.63914373088685
2400.0,72.66666666666667,33.53720693170234
2500.0,79.0,33.435270132517836
2600.0,85.66666666666667,33.503227998640845
2700.0,92.0,33.53720693170234
2800.0,98.66666666666667,33.53720693170234
2900.0,105.0,33.503227998640845
3000.0,111.66666666666667,33.503227998640845
3100.0,117.66666666666667,33.503227998640845
3200.0,123.66666666666667,33.53720693170234
3300.0,129.66666666666666,33.33333333333333
3400.0,135.66666666666666,33.29935440027183
3500.0,141.0,33.33333333333333
3600.0,145.66666666666666,33.53720693170234
3700.0,151.0,33.33333333333333
3800.0,155.33333333333334,33.435270132517836
3900.0,160.0,33.53720693170234
4000.0,164.0,33.435270132517836
4100.0,168.33333333333334,33.435270132517836
4200.0,172.33333333333334,33.53720693170234
4300.0,176.33333333333334,33.19741760108733
4400.0,180.0,33.46924906557933
4500.0,183.66666666666666,33.36731226639483
4600.0,187.0,33.46924906557934
4700.0,190.0,33.40129119945633
4800.0,193.33333333333334,33.23139653414883
4900.0,196.66666666666666,33.29935440027183
5000.0,199.33333333333334,33.367312266394826
5100.0,202.33333333333334,33.23139653414883
5200.0,205.0,33.29935440027183
5300.0,208.0,33.23139653414883
5400.0,210.0,33.23139653414883
5500.0,213.0,33.19741760108733
5600.0,215.0,33.23139653414883
5700.0,217.0,33.503227998640845
5800.0,219.0,33.16343866802582
5900.0,222.0,33.435270132517836
6000.0,222.0,33.57118586476384
